triangle_id,point_id_0,point_id_1,point_id_2,base_area,min_relative_area_change,min_expression,max_relative_area_change,max_expression
7922,12454,13043,446895,1.6789500750799453e-06,-0.49423089230528017,Compressed,0.22752931848524427,BrowUpLeft
7923,12466,391805,285959,1.3156285382139685e-06,-0.30913675154296616,Compressed,0.1832238617891917,EyeClosedBrowUpRight
7924,12466,77234,29871,7.4651663310938155e-07,-0.39802954845518357,Compressed,0.16623666701690931,MouthOpen
7925,12466,285959,308739,1.2847420288856737e-06,-0.28939523542613699,Compressed,0.15814836064755866,MouthOpen
7926,12466,29871,391805,1.3156285382141218e-06,-0.3757880262348976,Compressed,0.17700124618942192,MouthOpen
7927,12466,308739,77234,8.8597653185816525e-07,-0.37533953304970114,Compressed,0.16257062099192177,MouthOpen
7928,12474,12746,13202,2.4059883179504372e-06,-0.30941531532524236,LipsDisgust,0.11170509416470198,BrowDownLeft
7929,12474,13202,12989,2.3746630772287532e-06,-0.26091262218105593,LipsDisgust,0.10990261750593344,BrowDownLeft
7930,12474,532984,12746,1.3942862130345105e-06,-0.26122121744393567,LipsDisgust,0.11954022324805025,BrowDownLeft
7931,12474,12989,185761,1.105589207569179e-06,-0.2621210671891463,LipsDisgust,0.092333567459531363,BrowDownLeft
7932,12485,12584,256725,2.1980467257067289e-07,-0.61664345192136416,Compressed,0.36404245699839888,EyeClosedBrowUpLeft
7933,12485,12856,12584,3.8917537983420814e-07,-0.65896699235479672,Compressed,0.43723683356003518,EyesUpMax
7934,12485,12772,12856,2.4263027289449197e-07,-0.81345843128793605,Compressed,0.083105827048947534,EyesRight
7935,12485,12682,12772,2.2789427401681898e-07,-0.65070077062340148,Compressed,0.1397285750317343,EyesUp
7936,12491,12532,12841,1.8902985897758098e-06,-0.3782418187058546,LipsDisgust,0.15489275216590648,BrowDownLeft
7937,12491,12841,13124,1.5912700939408001e-06,-0.44445781204021173,LipsDisgust,0.11778567542799645,BrowDownLeft
7938,12491,13124,12884,1.4981413147465537e-06,-0.37946891906079749,LipsDisgust,0.15555256825857544,BrowDownLeft
7939,12499,12659,12847,5.2170223578539751e-07,-0.19278060563339294,LipsRight,0.70435573151685671,MouthOpenMax
7940,12499,12847,12717,4.5438853930526213e-07,-0.14879146446224323,LowerLipFront,0.69061251242674171,MouthOpenMax
7941,12510,378743,12878,2.7323004867229002e-06,-0.17142476992301725,LowerLipBack,0.056698707056710207,JawFront
7942,12510,496658,384257,1.1779711352458439e-06,-0.19039487487464291,LipsRight,0.071764704575207672,JawFront
7943,12510,384257,530505,1.2415687524499048e-06,-0.17676534221144413,LipsRight,0.093169914685835797,JawFront
7944,12510,530505,360090,1.3350825453261261e-06,-0.16123802078567873,LipsRight,0.093889767032863336,JawFront
7945,12510,360090,436671,1.6278690596340984e-06,-0.19077093431833636,LipsFunnel,0.089973060108324399,JawFront
7946,12510,436671,378743,1.5458138799580361e-06,-0.17873399842559057,LowerLipBack,0.14568489532637297,Scream
7947,12510,404273,496658,1.1316813177344383e-06,-0.17141121448560626,MouthOpenMax,0.083610352561284351,JawFront
7948,12510,12878,404273,2.2261745334166655e-06,-0.15455697809208968,LowerLipBack,0.044036479027126818,SmileClosed
7949,12513,13012,12560,3.789457043191407e-07,-0.37988760216577278,LowerLipBack,1.3068938038203659,Extra_Funnel
7950,12513,12711,13012,5.2310450415327945e-07,-0.43626612416805066,LowerLipBack,1.0970692278376442,Extra_Funnel
7951,12516,13163,13054,1.6555975377448464e-06,-0.52436144799902862,Compressed,0.080676084044528418,LipsRight
7952,12516,12649,13163,1.3828961116379766e-06,-0.43948748397103177,Compressed,0.13960916242617571,EyeClosedBrowUpLeft
7953,12520,13001,12906,6.0802534360057057e-07,-0.53352168848909765,Compressed,0.13754553223256472,EyesUpMax
7954,12520,12636,13001,5.6453166000200559e-07,-0.54156512511852606,Compressed,0.14239036211149658,EyesUpMax
7955,12522,13186,12729,1.7722543268764886e-06,-0.6117315192159114,Compressed,0.9914069413796629,BrowUpLeft
7956,12522,12992,13186,1.5085175852800418e-06,-0.71910490333010579,Compressed,0.87848930895114186,BrowUpLeft
7957,12527,12741,141855,1.3161703426872842e-06,-0.23869182826961199,LipsDisgust,0.070419677057976138,LipsPressed
7958,12527,141855,13053,1.298205526649351e-06,-0.22242677362162588,LipsDisgust,0.058064044642169854,LipsPressed
7959,12527,145826,12741,1.1583752146020974e-06,-0.27268380070883502,Compressed,0.063369520235850629,LipsPressed
7960,12532,13138,12841,1.435672861979017e-06,-0.35095373749353997,LipsDisgust,0.14458438748390323,BrowDownLeft
7961,12532,12952,13138,1.7382721732969665e-06,-0.39277159421897023,MouthOpenMax,0.064058407009647045,LipsCornersDown
7962,12532,201902,12952,1.1015008048109742e-06,-0.38496205250649285,MouthOpenMax,0.137281879094862,BrowDownLeft
7963,12535,12910,510234,1.5501126875058421e-06,-0.21341022732307513,LipsRight,0.12582594634781064,SmileClosed
7964,12535,261580,422495,1.016278759368503e-06,-0.15358150859693365,LipsRight,0.084949213615223895,SmileClosed
7965,12535,457983,261580,9.6417673138434945e-07,-0.22797983797616594,LipsRight,0.15352620644194559,SmileClosed
7966,12535,447687,12910,1.4942484468164798e-06,-0.2427350569444704,MouthOpenMax,0.051195509481433144,SmileClosed
7967,12535,422495,447687,1.9461267938678488e-06,-0.16506512067906298,LipsRight,0.097543073052551721,SmileClosed
7968,12536,449665,73705,8.9559915579980785e-07,-0.04802154851094409,LipsCornersDown,0.15009717920269616,JawFront
7969,12536,45790,449665,9.7142331271715378e-07,-0.042905164815408958,LipsCornersDown,0.15466569844328348,JawFront
7970,12536,370466,21834,1.7155013289241075e-06,-0.05526782582759393,LipsCornersDown,0.15835966682446134,JawFront
7971,12536,73705,213303,1.1387966474645758e-06,-0.04873099176705753,LipsCornersDown,0.1554872850372262,JawFront
7972,12536,213303,370466,2.0151891996425423e-06,-0.054178835516168644,LipsCornersDown,0.15646255640935158,JawFront
7973,12536,21834,45790,1.1994977889387401e-06,-0.052475567931612788,LipsCornersDown,0.15754571862194422,JawFront
7974,12542,12751,13106,7.0790372052729736e-07,-0.39791754413208236,LowerLipFront,0.80409270503706254,MouthOpenMax
7975,12542,13106,12882,5.4017819663355368e-07,-0.34907161076025939,LowerLipFront,1.0485776490446677,Extra_Funnel
7976,12548,12884,13220,1.8661947199746493e-06,-0.32863161134019503,LipsDisgust,0.16744911369923332,BrowDownLeft
7977,12548,13220,13004,1.8703636112915682e-06,-0.32685203398219542,LipsDisgust,0.13277575374242789,BrowDownLeft
7978,12549,12898,12591,4.773970066214268e-07,-0.28092357599639639,LipsRight,0.69327433320648701,Extra_Funnel
7979,12549,12807,12898,5.6017629272997514e-07,-0.25299132012933789,LipsRight,0.70181478746178572,Extra_Funnel
7980,12556,12972,13355,1.5336317854360672e-06,-0.12047707684958098,LipsRight,0.40287238307826101,MouthOpenMax
7981,12556,12851,12972,1.1375627187965417e-06,-0.13284585763441481,Extra_Funnel,0.40461871545325412,MouthOpenMax
7982,12556,13355,12932,2.4928343040944632e-06,-0.15359534654007923,LipsRight,0.32005918717631854,MouthOpenMax
7983,12560,13012,12957,6.356176204258605e-07,-0.27691733342536562,LipsLeft,1.6365203275982836,Extra_Funnel
7984,12563,12712,12979,7.7004496382089995e-07,-0.16507015230631172,Extra_Funnel,0.67511335474088607,Scream
7985,12563,12979,12851,9.6863728750969909e-07,-0.14734716300846862,Extra_Funnel,0.50809262707485492,MouthOpenMax
7986,12570,197158,12846,1.290555961157441e-06,-0.35596946861025935,Extra_Funnel,0.27654939658468103,Scream
7987,12579,12985,12863,5.3631210369766697e-07,-0.21298670057081015,LipsRight,0.83225522585772227,Scream
