resolution,index,singular_value
200x20,341,3.53011531865148e-20
200x20,342,3.522222330819296e-20
200x20,343,3.470161688918417e-20
200x20,344,3.449844041460134e-20
200x20,345,3.411679620596577e-20
200x20,346,3.289880775125447e-20
200x20,347,3.247824023950714e-20
200x20,348,3.180040743244894e-20
200x20,349,3.101123687592286e-20
200x20,350,3.0646499225841433e-20
200x20,351,2.999085400908485e-20
200x20,352,2.940188302484869e-20
200x20,353,2.8738896279523045e-20
200x20,354,2.813904760720864e-20
200x20,355,2.787182841476408e-20
200x20,356,2.71389140611514e-20
200x20,357,2.690679389953704e-20
200x20,358,2.6488929009072087e-20
200x20,359,2.5908607213899138e-20
200x20,360,2.561690350947919e-20
200x20,361,2.5244194695963543e-20
200x20,362,2.4803292332592714e-20
200x20,363,2.4477842715815106e-20
200x20,364,2.3679725837397705e-20
200x20,365,2.3436019817821387e-20
200x20,366,2.219782216312711e-20
200x20,367,2.1802008341646886e-20
200x20,368,2.103308433684661e-20
200x20,369,2.0701249312133232e-20
200x20,370,2.0479674336471322e-20
200x20,371,2.0279564309476943e-20
200x20,372,2.004023782184474e-20
200x20,373,1.978306983146924e-20
200x20,374,1.912151603097845e-20
200x20,375,1.895852605230516e-20
200x20,376,1.852724612711671e-20
200x20,377,1.827688507410434e-20
200x20,378,1.7819701381366123e-20
200x20,379,1.767098342047426e-20
200x20,380,1.6381252176667356e-20
200x20,381,1.5594978877112607e-20
200x20,382,1.5208232297149048e-20
200x20,383,1.5074352666833766e-20
200x20,384,1.4471991055138285e-20
200x20,385,1.4357980240774825e-20
200x20,386,1.3324886493552462e-20
200x20,387,1.267437789110686e-20
200x20,388,1.2005589594548779e-20
200x20,389,1.15273201520355e-20
200x20,390,1.1518117129298252e-20
200x20,391,1.0376668216093907e-20
200x20,392,1.0219165629950721e-20
200x20,393,8.876489671467034e-21
200x20,394,6.956039732519445e-21
200x20,395,6.576565025007181e-21
200x20,396,5.0813116847752915e-21
200x20,397,3.547048143521028e-21
